price,Address,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
27500000,"Kalpataru Gardens 1 ABC Cooperative Housing Society Ashok Nagar Main Road Rajguru Flyover Kandivali East Mumbai Maharashtra 400101, Kandivali East, Mumbai - North Mumbai, Maharashtra",1220,2,2,1,1,3,22540.98361
26500000,"Flat no 702, B Block, DGS Sheetal Grandeur, Kalina Pin 400098, Kalina University, Mumbai - Western Suburbs, Maharashtra",750,2,2,1,1,1,35333.33333
20200000,"AshokAnandCHS.ASHOK NAGAR ROAD NO.3OPPO.SBI SAHAKARGRAM BRANCH KANDIVALI EAST NEAR EAST-WEST FLY OVER.MUMBAI 400101, Ashok Nagar, Mumbai - Central Line, Maharashtra",1050,3,2,1,1,1,19238.09524
70000000,"Parel, Mumbai - South Mumbai, Maharashtra",1800,4,4,1,2,2,38888.88889
26500000,"Chembur East, Mumbai, Maharashtra",840,2,2,3,1,1,31547.61905
65000000,"Flat Number B 3602 36th Floor Lodha Park Side Pandurang Budhkar Marg Worli Mumbai 400013, Worli, Mumbai - South Mumbai, Maharashtra",1539,3,3,3,2,4,42235.21767
5600000,"A-7, 1st floor shalimar super diamond, behind sceince garden virar west., Virar West, Mumbai - Mira Road and Beyond, Maharashtra",1250,2,2,1,3,1,4480
18000000,"Powai, Mumbai, Powai, Mumbai - Central Line, Maharashtra",998,2,2,1,1,4,18036.07214
25000000,"Mahim West, Mumbai., Mahim West, Mumbai - Central Mumbai, Maharashtra",1000,2,2,1,1,0,25000
12800000,"NG Suncity Phase-IIIFarid Estate, Huzefa Nagar, Kandivali EastMumbai, Maharashtra 400101, Thakur Village, Mumbai - North Mumbai, Maharashtra",890,2,2,3,1,2,14382.02247
20000000,"Chembur, Mumbai, Chembur, Mumbai - Harbour Line, Maharashtra",862,2,2,2,1,1,23201.85615
24000000,"Ghatkopar West, Mumbai, Ghatkopar West, Mumbai - Central Line, Maharashtra",1143,2,2,1,2,2,20997.37533
69500000,"Dadar East, Mumbai - Central Mumbai, Maharashtra",2200,3,4,1,2,10,31590.90909
9000000,"Flat no-2102 Aum supreme coperative housing society opposite KC gandhi school above D mart bail bazar kalayan west, Kalyan, Mumbai - Around Mumbai, Maharashtra",1050,2,2,4,1,1,8571.428571
19000000,"Dahisar East close to Manav Kalyan, Dahisar East, Mumbai - North Mumbai, Maharashtra",1350,3,3,1,1,2,14074.07407
130000000,"Suvidha Emerald Sai Baba Marg Off Appasaheb Marathe Marg Prabhadevi Dadar West Mumbai Maharashtra 400025, Dadar West, Mumbai - South Mumbai, Maharashtra",2800,4,4,1,1,2,46428.57143
22500000,"Raheja Vista, Raheja Vihar, Chandivali Film Studio, Chandivali Farm Road, Chandivali, Powai, Chandivali, Mumbai - Central Line, Maharashtra",1091,2,2,1,1,2,20623.28139
22500000,"Kandivali East, Mumbai, Thakur Village, Mumbai - North Mumbai, Maharashtra",1250,3,3,1,1,2,18000
19500000,"Flat No A2 Ground Floor Ashok Watika Coop Hsg Society 177 Sahar Pipeline Road Sahar  Andheri East Mumbai 400099, Andheri East, Mumbai - Western Suburbs, Maharashtra",702,2,2,1,1,1,27777.77778
26000000,"Deep Apartment, Oshiwara, Mumbai - Western Suburbs, Maharashtra",1100,2,2,1,1,2,23636.36364
16500000,"Aadi Allure E Wing Kanjurmarg Village Kanjurmarg East Mumbai Maharashtra 400042, Kanjurmarg, Mumbai - Central Line, Maharashtra",1120,2,2,1,1,2,14732.14286
115000000,"Nr. Washington School, Napean Sea Road, Mumbai - South Mumbai, Maharashtra",2500,3,4,1,3,4,46000
