price,area,Bedrooms,Bathrooms,Balcony,parking,Lift,Price_sqft
38300000,1600,3,3,1,1,1,23937.5
17500000,1050,2,2,1,1,1,16666.66667
14500000,900,2,2,1,1,3,16111.11111
20100000,1131,2,2,1,1,4,17771.88329
7200000,850,2,2,3,1,3,8470.588235
14400000,1000,2,2,1,1,2,14400
15100000,727,2,2,1,1,2,20770.28886
35000000,806,2,2,1,1,2,43424.31762
46500000,1750,3,3,1,2,3,26571.42857
15000000,1500,2,2,4,1,4,10000
13600000,910,2,2,1,1,6,14945.05495
18500000,1000,2,2,1,1,1,18500
8500000,974,2,2,3,1,3,8726.899384
25000000,800,2,2,2,2,4,31250
60000000,1316,3,3,5,2,2,45592.70517
28000000,1513,3,3,1,3,3,18506.27892
65000000,2300,4,5,1,1,1,28260.86957
12000000,860,2,2,1,1,3,13953.48837
65600000,1914,3,3,2,2,2,34273.7722
50000000,2303,3,3,1,2,5,21710.81198
28900000,1700,3,3,1,2,5,17000
18000000,1157,2,2,1,1,3,15557.47623
55000000,1500,3,3,1,2,4,36666.66667
21000000,1050,2,2,1,1,2,20000
12600000,925,2,2,1,1,3,13621.62162
9360000,585,2,2,3,1,2,16000
17500000,1075,2,2,1,1,2,16279.06977
9220000,1160,2,2,4,1,2,7948.275862
15100000,764,2,2,1,1,4,19764.39791
18500000,667,2,2,1,20,4,27736.13193
19500000,1030,2,2,3,1,4,18932.03883
11900000,1060,2,2,1,1,3,11226.41509
24400000,980,3,3,1,1,2,24897.95918
29000000,1670,3,3,1,1,4,17365.26946
28000000,1200,2,2,2,1,7,23333.33333
22500000,1250,3,3,1,2,6,18000
26500000,1050,2,2,1,1,2,25238.09524
18000000,998,2,2,1,1,3,18036.07214
31000000,1156,2,2,2,1,2,26816.609
20500000,1350,2,2,1,1,3,15185.18519
50000000,1400,3,3,3,2,4,35714.28571
33000000,1000,2,2,1,1,2,33000
13700000,960,2,2,1,1,7,14270.83333
17500000,900,2,2,1,1,2,19444.44444
47000000,1900,3,3,1,1,5,24736.84211
16000000,1100,3,3,1,1,1,14545.45455
21000000,1307,2,2,2,1,8,16067.32976
26500000,1100,2,2,1,2,1,24090.90909
35000000,1200,3,3,2,1,2,29166.66667
28500000,1680,3,3,4,2,7,16964.28571
25000000,1300,3,3,1,1,1,19230.76923
22000000,1050,2,2,1,1,2,20952.38095
55000000,2275,5,4,2,2,1,24175.82418
26500000,1360,3,2,1,1,3,19485.29412
22500000,850,2,2,1,1,1,26470.58824
29000000,1430,3,3,1,1,2,20279.72028
13800000,850,2,2,1,2,3,16235.29412
100000000,5250,4,5,4,3,6,19047.61905
80000000,1600,3,4,1,2,2,50000
52500000,1500,3,3,1,1,1,35000
25500000,1313,3,2,1,1,3,19421.17289
61800000,2500,3,3,1,1,2,24720
38000000,1157,2,2,1,1,5,32843.56093
48500000,1100,3,3,1,1,2,44090.90909
29000000,1550,3,3,1,1,1,18709.67742
18000000,980,2,2,1,1,1,18367.34694
107500000,3000,4,6,3,1,1,35833.33333
21000000,1100,3,3,1,1,3,19090.90909
18500000,955,2,2,1,1,2,19371.72775
47000000,1100,2,2,1,1,1,42727.27273
105000000,2200,4,4,1,2,2,47727.27273
56000000,2700,6,4,2,3,1,20740.74074
17500000,915,2,2,2,1,1,19125.68306
38000000,2000,4,4,2,2,3,19000
14300000,875,2,2,1,1,1,16342.85714
16900000,880,2,3,1,1,2,19204.54545
17500000,1200,2,2,3,1,1,14583.33333
24200000,1435,2,2,3,1,5,16864.1115
35000000,1650,3,3,1,2,3,21212.12121
18500000,1046,2,2,1,1,1,17686.42447
15900000,1104,2,2,1,1,1,14402.17391
38500000,1150,2,2,1,1,1,33478.26087
27500000,1150,2,2,1,1,2,23913.04348
